image,masks,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
238.jpg,238.png,,polyp,small polyp,one polyp,"polyp, located in bottom right of the image",one small polyp,"small polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one small polyp, located in bottom right of the image","['one small polyp which is a projecting growth of tissue located in bottom right of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one small polyp which is a small lump in the lining of colon located in bottom right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
239.jpg,239.png,,polyp,small polyp,two polyp,"polyp, located in bottom right, bottom right of the image",two small polyp,"small polyp, located in bottom right, bottom right of the image","two polyp, located in bottom right, bottom right of the image","two small polyp, located in bottom right, bottom right of the image","['two small polyp which is a projecting growth of tissue located in bottom right, bottom right of the image', 'two small polyp which is often a bumpy flesh in rectum located in bottom right, bottom right of the image', 'two small polyp which is a small lump in the lining of colon located in bottom right, bottom right of the image', 'two small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right, bottom right of the image', 'two small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right, bottom right of the image']"
24.jpg,24.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
240.jpg,240.png,,polyp,medium polyp,one polyp,"polyp, located in bottom right of the image",one medium polyp,"medium polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one medium polyp, located in bottom right of the image","['one medium polyp which is a projecting growth of tissue located in bottom right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
241.jpg,241.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
242.jpg,242.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
243.jpg,243.png,,polyp,small polyp,one polyp,"polyp, located in bottom right of the image",one small polyp,"small polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one small polyp, located in bottom right of the image","['one small polyp which is a projecting growth of tissue located in bottom right of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one small polyp which is a small lump in the lining of colon located in bottom right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
244.jpg,244.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
245.jpg,245.png,,polyp,medium polyp,one polyp,"polyp, located in bottom of the image",one medium polyp,"medium polyp, located in bottom of the image","one polyp, located in bottom of the image","one medium polyp, located in bottom of the image","['one medium polyp which is a projecting growth of tissue located in bottom of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
246.jpg,246.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
247.jpg,247.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
248.jpg,248.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
249.jpg,249.png,,polyp,medium polyp,two polyp,"polyp, located in right, center of the image",two medium polyp,"medium polyp, located in right, center of the image","two polyp, located in right, center of the image","two medium polyp, located in right, center of the image","['two medium polyp which is a projecting growth of tissue located in right, center of the image', 'two medium polyp which is often a bumpy flesh in rectum located in right, center of the image', 'two medium polyp which is a small lump in the lining of colon located in right, center of the image', 'two medium polyp which is a tissue growth that often resemble mushroom like stalks located in right, center of the image', 'two medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right, center of the image']"
25.jpg,25.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
250.jpg,250.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
251.jpg,251.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
252.jpg,252.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
253.jpg,253.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
254.jpg,254.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
255.jpg,255.png,,polyp,small polyp,one polyp,"polyp, located in bottom left of the image",one small polyp,"small polyp, located in bottom left of the image","one polyp, located in bottom left of the image","one small polyp, located in bottom left of the image","['one small polyp which is a projecting growth of tissue located in bottom left of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom left of the image', 'one small polyp which is a small lump in the lining of colon located in bottom left of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom left of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom left of the image']"
256.jpg,256.png,,polyp,medium polyp,one polyp,"polyp, located in bottom right of the image",one medium polyp,"medium polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one medium polyp, located in bottom right of the image","['one medium polyp which is a projecting growth of tissue located in bottom right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
257.jpg,257.png,,polyp,small polyp,one polyp,"polyp, located in left of the image",one small polyp,"small polyp, located in left of the image","one polyp, located in left of the image","one small polyp, located in left of the image","['one small polyp which is a projecting growth of tissue located in left of the image', 'one small polyp which is often a bumpy flesh in rectum located in left of the image', 'one small polyp which is a small lump in the lining of colon located in left of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in left of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in left of the image']"
258.jpg,258.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
259.jpg,259.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
26.jpg,26.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
260.jpg,260.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
261.jpg,261.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
262.jpg,262.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
263.jpg,263.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
264.jpg,264.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
265.jpg,265.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
266.jpg,266.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
267.jpg,267.png,,polyp,small polyp,one polyp,"polyp, located in bottom right of the image",one small polyp,"small polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one small polyp, located in bottom right of the image","['one small polyp which is a projecting growth of tissue located in bottom right of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one small polyp which is a small lump in the lining of colon located in bottom right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
268.jpg,268.png,,polyp,small polyp,one polyp,"polyp, located in bottom right of the image",one small polyp,"small polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one small polyp, located in bottom right of the image","['one small polyp which is a projecting growth of tissue located in bottom right of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one small polyp which is a small lump in the lining of colon located in bottom right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
269.jpg,269.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
27.jpg,27.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
270.jpg,270.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
271.jpg,271.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
272.jpg,272.png,,polyp,medium polyp,one polyp,"polyp, located in bottom of the image",one medium polyp,"medium polyp, located in bottom of the image","one polyp, located in bottom of the image","one medium polyp, located in bottom of the image","['one medium polyp which is a projecting growth of tissue located in bottom of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
273.jpg,273.png,,polyp,medium polyp,two polyp,"polyp, located in center, bottom right of the image",two medium polyp,"medium polyp, located in center, bottom right of the image","two polyp, located in center, bottom right of the image","two medium polyp, located in center, bottom right of the image","['two medium polyp which is a projecting growth of tissue located in center, bottom right of the image', 'two medium polyp which is often a bumpy flesh in rectum located in center, bottom right of the image', 'two medium polyp which is a small lump in the lining of colon located in center, bottom right of the image', 'two medium polyp which is a tissue growth that often resemble mushroom like stalks located in center, bottom right of the image', 'two medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center, bottom right of the image']"
274.jpg,274.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
275.jpg,275.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
276.jpg,276.png,,polyp,medium polyp,one polyp,"polyp, located in bottom of the image",one medium polyp,"medium polyp, located in bottom of the image","one polyp, located in bottom of the image","one medium polyp, located in bottom of the image","['one medium polyp which is a projecting growth of tissue located in bottom of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
277.jpg,277.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
278.jpg,278.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
279.jpg,279.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
28.jpg,28.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
280.jpg,280.png,,polyp,small polyp,two polyp,"polyp, located in left, bottom of the image",two small polyp,"small polyp, located in left, bottom of the image","two polyp, located in left, bottom of the image","two small polyp, located in left, bottom of the image","['two small polyp which is a projecting growth of tissue located in left, bottom of the image', 'two small polyp which is often a bumpy flesh in rectum located in left, bottom of the image', 'two small polyp which is a small lump in the lining of colon located in left, bottom of the image', 'two small polyp which is a tissue growth that often resemble mushroom like stalks located in left, bottom of the image', 'two small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in left, bottom of the image']"
281.jpg,281.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
282.jpg,282.png,,polyp,small polyp,two polyp,"polyp, located in bottom left, bottom of the image",two small polyp,"small polyp, located in bottom left, bottom of the image","two polyp, located in bottom left, bottom of the image","two small polyp, located in bottom left, bottom of the image","['two small polyp which is a projecting growth of tissue located in bottom left, bottom of the image', 'two small polyp which is often a bumpy flesh in rectum located in bottom left, bottom of the image', 'two small polyp which is a small lump in the lining of colon located in bottom left, bottom of the image', 'two small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom left, bottom of the image', 'two small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom left, bottom of the image']"
283.jpg,283.png,,polyp,small polyp,three polyp,"polyp, located in bottom, bottom left, bottom left of the image",three small polyp,"small polyp, located in bottom, bottom left, bottom left of the image","three polyp, located in bottom, bottom left, bottom left of the image","three small polyp, located in bottom, bottom left, bottom left of the image","['three small polyp which is a projecting growth of tissue located in bottom, bottom left, bottom left of the image', 'three small polyp which is often a bumpy flesh in rectum located in bottom, bottom left, bottom left of the image', 'three small polyp which is a small lump in the lining of colon located in bottom, bottom left, bottom left of the image', 'three small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom, bottom left, bottom left of the image', 'three small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom, bottom left, bottom left of the image']"
284.jpg,284.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
285.jpg,285.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
286.jpg,286.png,,polyp,medium polyp,one polyp,"polyp, located in bottom of the image",one medium polyp,"medium polyp, located in bottom of the image","one polyp, located in bottom of the image","one medium polyp, located in bottom of the image","['one medium polyp which is a projecting growth of tissue located in bottom of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
