image,masks,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
157.jpg,157.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
158.jpg,158.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
159.jpg,159.png,,polyp,medium polyp,one polyp,"polyp, located in bottom right of the image",one medium polyp,"medium polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one medium polyp, located in bottom right of the image","['one medium polyp which is a projecting growth of tissue located in bottom right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
16.jpg,16.png,,polyp,medium polyp,one polyp,"polyp, located in top right of the image",one medium polyp,"medium polyp, located in top right of the image","one polyp, located in top right of the image","one medium polyp, located in top right of the image","['one medium polyp which is a projecting growth of tissue located in top right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in top right of the image', 'one medium polyp which is a small lump in the lining of colon located in top right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in top right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top right of the image']"
160.jpg,160.png,,polyp,large polyp,two polyp,"polyp, located in top left, center of the image",two large polyp,"large polyp, located in top left, center of the image","two polyp, located in top left, center of the image","two large polyp, located in top left, center of the image","['two large polyp which is a projecting growth of tissue located in top left, center of the image', 'two large polyp which is often a bumpy flesh in rectum located in top left, center of the image', 'two large polyp which is a small lump in the lining of colon located in top left, center of the image', 'two large polyp which is a tissue growth that often resemble mushroom like stalks located in top left, center of the image', 'two large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, center of the image']"
161.jpg,161.png,,polyp,medium polyp,one polyp,"polyp, located in bottom of the image",one medium polyp,"medium polyp, located in bottom of the image","one polyp, located in bottom of the image","one medium polyp, located in bottom of the image","['one medium polyp which is a projecting growth of tissue located in bottom of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
162.jpg,162.png,,polyp,"small, medium polyp",three polyp,"polyp, located in top left, left, bottom of the image","three small, medium polyp","small, medium polyp, located in top left, left, bottom of the image","three polyp, located in top left, left, bottom of the image","three small, medium polyp, located in top left, left, bottom of the image","['three small, medium polyp which is a projecting growth of tissue located in top left, left, bottom of the image', 'three small, medium polyp which is often a bumpy flesh in rectum located in top left, left, bottom of the image', 'three small, medium polyp which is a small lump in the lining of colon located in top left, left, bottom of the image', 'three small, medium polyp which is a tissue growth that often resemble mushroom like stalks located in top left, left, bottom of the image', 'three small, medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, left, bottom of the image']"
163.jpg,163.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
164.jpg,164.png,,polyp,small polyp,one polyp,"polyp, located in bottom right of the image",one small polyp,"small polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one small polyp, located in bottom right of the image","['one small polyp which is a projecting growth of tissue located in bottom right of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one small polyp which is a small lump in the lining of colon located in bottom right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
165.jpg,165.png,,polyp,medium polyp,two polyp,"polyp, located in top left, bottom of the image",two medium polyp,"medium polyp, located in top left, bottom of the image","two polyp, located in top left, bottom of the image","two medium polyp, located in top left, bottom of the image","['two medium polyp which is a projecting growth of tissue located in top left, bottom of the image', 'two medium polyp which is often a bumpy flesh in rectum located in top left, bottom of the image', 'two medium polyp which is a small lump in the lining of colon located in top left, bottom of the image', 'two medium polyp which is a tissue growth that often resemble mushroom like stalks located in top left, bottom of the image', 'two medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, bottom of the image']"
166.jpg,166.png,,polyp,large polyp,two polyp,"polyp, located in top left, center of the image",two large polyp,"large polyp, located in top left, center of the image","two polyp, located in top left, center of the image","two large polyp, located in top left, center of the image","['two large polyp which is a projecting growth of tissue located in top left, center of the image', 'two large polyp which is often a bumpy flesh in rectum located in top left, center of the image', 'two large polyp which is a small lump in the lining of colon located in top left, center of the image', 'two large polyp which is a tissue growth that often resemble mushroom like stalks located in top left, center of the image', 'two large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, center of the image']"
167.jpg,167.png,,polyp,large polyp,one polyp,"polyp, located in center of the image",one large polyp,"large polyp, located in center of the image","one polyp, located in center of the image","one large polyp, located in center of the image","['one large polyp which is a projecting growth of tissue located in center of the image', 'one large polyp which is often a bumpy flesh in rectum located in center of the image', 'one large polyp which is a small lump in the lining of colon located in center of the image', 'one large polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
168.jpg,168.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
169.jpg,169.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
17.jpg,17.png,,polyp,medium polyp,one polyp,"polyp, located in left of the image",one medium polyp,"medium polyp, located in left of the image","one polyp, located in left of the image","one medium polyp, located in left of the image","['one medium polyp which is a projecting growth of tissue located in left of the image', 'one medium polyp which is often a bumpy flesh in rectum located in left of the image', 'one medium polyp which is a small lump in the lining of colon located in left of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in left of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in left of the image']"
170.jpg,170.png,,polyp,medium polyp,two polyp,"polyp, located in top left, bottom right of the image",two medium polyp,"medium polyp, located in top left, bottom right of the image","two polyp, located in top left, bottom right of the image","two medium polyp, located in top left, bottom right of the image","['two medium polyp which is a projecting growth of tissue located in top left, bottom right of the image', 'two medium polyp which is often a bumpy flesh in rectum located in top left, bottom right of the image', 'two medium polyp which is a small lump in the lining of colon located in top left, bottom right of the image', 'two medium polyp which is a tissue growth that often resemble mushroom like stalks located in top left, bottom right of the image', 'two medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, bottom right of the image']"
171.jpg,171.png,,polyp,medium polyp,one polyp,"polyp, located in top of the image",one medium polyp,"medium polyp, located in top of the image","one polyp, located in top of the image","one medium polyp, located in top of the image","['one medium polyp which is a projecting growth of tissue located in top of the image', 'one medium polyp which is often a bumpy flesh in rectum located in top of the image', 'one medium polyp which is a small lump in the lining of colon located in top of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in top of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top of the image']"
172.jpg,172.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
173.jpg,173.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
174.jpg,174.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
175.jpg,175.png,,polyp,medium polyp,one polyp,"polyp, located in bottom of the image",one medium polyp,"medium polyp, located in bottom of the image","one polyp, located in bottom of the image","one medium polyp, located in bottom of the image","['one medium polyp which is a projecting growth of tissue located in bottom of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
176.jpg,176.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
177.jpg,177.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
178.jpg,178.png,,polyp,small polyp,one polyp,"polyp, located in left of the image",one small polyp,"small polyp, located in left of the image","one polyp, located in left of the image","one small polyp, located in left of the image","['one small polyp which is a projecting growth of tissue located in left of the image', 'one small polyp which is often a bumpy flesh in rectum located in left of the image', 'one small polyp which is a small lump in the lining of colon located in left of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in left of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in left of the image']"
179.jpg,179.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
18.jpg,18.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
180.jpg,180.png,,polyp,small polyp,one polyp,"polyp, located in left of the image",one small polyp,"small polyp, located in left of the image","one polyp, located in left of the image","one small polyp, located in left of the image","['one small polyp which is a projecting growth of tissue located in left of the image', 'one small polyp which is often a bumpy flesh in rectum located in left of the image', 'one small polyp which is a small lump in the lining of colon located in left of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in left of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in left of the image']"
181.jpg,181.png,,polyp,medium polyp,one polyp,"polyp, located in bottom right of the image",one medium polyp,"medium polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one medium polyp, located in bottom right of the image","['one medium polyp which is a projecting growth of tissue located in bottom right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
182.jpg,182.png,,polyp,large polyp,two polyp,"polyp, located in top left, center of the image",two large polyp,"large polyp, located in top left, center of the image","two polyp, located in top left, center of the image","two large polyp, located in top left, center of the image","['two large polyp which is a projecting growth of tissue located in top left, center of the image', 'two large polyp which is often a bumpy flesh in rectum located in top left, center of the image', 'two large polyp which is a small lump in the lining of colon located in top left, center of the image', 'two large polyp which is a tissue growth that often resemble mushroom like stalks located in top left, center of the image', 'two large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, center of the image']"
183.jpg,183.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
184.jpg,184.png,,polyp,medium polyp,one polyp,"polyp, located in bottom right of the image",one medium polyp,"medium polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one medium polyp, located in bottom right of the image","['one medium polyp which is a projecting growth of tissue located in bottom right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
185.jpg,185.png,,polyp,medium polyp,one polyp,"polyp, located in bottom right of the image",one medium polyp,"medium polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one medium polyp, located in bottom right of the image","['one medium polyp which is a projecting growth of tissue located in bottom right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
186.jpg,186.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
187.jpg,187.png,,polyp,large polyp,one polyp,"polyp, located in center of the image",one large polyp,"large polyp, located in center of the image","one polyp, located in center of the image","one large polyp, located in center of the image","['one large polyp which is a projecting growth of tissue located in center of the image', 'one large polyp which is often a bumpy flesh in rectum located in center of the image', 'one large polyp which is a small lump in the lining of colon located in center of the image', 'one large polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
188.jpg,188.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
189.jpg,189.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
19.jpg,19.png,,polyp,medium polyp,one polyp,"polyp, located in bottom right of the image",one medium polyp,"medium polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one medium polyp, located in bottom right of the image","['one medium polyp which is a projecting growth of tissue located in bottom right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
190.jpg,190.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
191.jpg,191.png,,polyp,large polyp,one polyp,"polyp, located in right of the image",one large polyp,"large polyp, located in right of the image","one polyp, located in right of the image","one large polyp, located in right of the image","['one large polyp which is a projecting growth of tissue located in right of the image', 'one large polyp which is often a bumpy flesh in rectum located in right of the image', 'one large polyp which is a small lump in the lining of colon located in right of the image', 'one large polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
192.jpg,192.png,,polyp,large polyp,one polyp,"polyp, located in center of the image",one large polyp,"large polyp, located in center of the image","one polyp, located in center of the image","one large polyp, located in center of the image","['one large polyp which is a projecting growth of tissue located in center of the image', 'one large polyp which is often a bumpy flesh in rectum located in center of the image', 'one large polyp which is a small lump in the lining of colon located in center of the image', 'one large polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
193.jpg,193.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
194.jpg,194.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
195.jpg,195.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
196.jpg,196.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
197.jpg,197.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
198.jpg,198.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
199.jpg,199.png,,polyp,large polyp,two polyp,"polyp, located in top left, bottom of the image",two large polyp,"large polyp, located in top left, bottom of the image","two polyp, located in top left, bottom of the image","two large polyp, located in top left, bottom of the image","['two large polyp which is a projecting growth of tissue located in top left, bottom of the image', 'two large polyp which is often a bumpy flesh in rectum located in top left, bottom of the image', 'two large polyp which is a small lump in the lining of colon located in top left, bottom of the image', 'two large polyp which is a tissue growth that often resemble mushroom like stalks located in top left, bottom of the image', 'two large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, bottom of the image']"
2.jpg,2.png,,polyp,large polyp,one polyp,"polyp, located in right of the image",one large polyp,"large polyp, located in right of the image","one polyp, located in right of the image","one large polyp, located in right of the image","['one large polyp which is a projecting growth of tissue located in right of the image', 'one large polyp which is often a bumpy flesh in rectum located in right of the image', 'one large polyp which is a small lump in the lining of colon located in right of the image', 'one large polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
20.jpg,20.png,,polyp,small polyp,one polyp,"polyp, located in top of the image",one small polyp,"small polyp, located in top of the image","one polyp, located in top of the image","one small polyp, located in top of the image","['one small polyp which is a projecting growth of tissue located in top of the image', 'one small polyp which is often a bumpy flesh in rectum located in top of the image', 'one small polyp which is a small lump in the lining of colon located in top of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in top of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top of the image']"
200.jpg,200.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
201.jpg,201.png,,polyp,large polyp,two polyp,"polyp, located in top left, center of the image",two large polyp,"large polyp, located in top left, center of the image","two polyp, located in top left, center of the image","two large polyp, located in top left, center of the image","['two large polyp which is a projecting growth of tissue located in top left, center of the image', 'two large polyp which is often a bumpy flesh in rectum located in top left, center of the image', 'two large polyp which is a small lump in the lining of colon located in top left, center of the image', 'two large polyp which is a tissue growth that often resemble mushroom like stalks located in top left, center of the image', 'two large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, center of the image']"
202.jpg,202.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
203.jpg,203.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
204.jpg,204.png,,polyp,small polyp,one polyp,"polyp, located in top of the image",one small polyp,"small polyp, located in top of the image","one polyp, located in top of the image","one small polyp, located in top of the image","['one small polyp which is a projecting growth of tissue located in top of the image', 'one small polyp which is often a bumpy flesh in rectum located in top of the image', 'one small polyp which is a small lump in the lining of colon located in top of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in top of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top of the image']"
205.jpg,205.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
